Ticket,Open Time,Type,Volume,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
41161064,2023.12.22 12:42:05,buy,0.05,eurusd,1.10294,0,1.10267,2023.12.22 13:53:05,1.10267,-0.3,0,0,-1.35
41161080,2023.12.22 12:43:02,buy,0.05,eurusd,1.10271,0,1.10267,2023.12.22 13:53:05,1.10267,-0.3,0,0,-0.2
41161098,2023.12.22 12:46:02,buy,0.05,eurusd,1.1026,0,1.10267,2023.12.22 13:53:05,1.10267,-0.3,0,0,0.35
41161116,2023.12.22 12:47:01,buy,0.1,eurusd,1.10241,0,1.10267,2023.12.22 13:53:05,1.10267,-0.6,0,0,2.6
41161134,2023.12.22 12:48:07,buy,0.1,eurusd,1.10237,0,1.10267,2023.12.22 13:53:05,1.10267,-0.6,0,0,3
41161149,2023.12.22 12:49:01,buy,0.1,eurusd,1.10231,0,1.10267,2023.12.22 13:53:05,1.10267,-0.6,0,0,3.6
41161171,2023.12.22 12:52:08,buy,0.1,eurusd,1.1022,0,1.10267,2023.12.22 13:53:05,1.10267,-0.6,0,0,4.7
41161189,2023.12.22 12:54:05,buy,0.1,eurusd,1.10215,0,1.10267,2023.12.22 13:53:05,1.10267,-0.6,0,0,5.2
41161203,2023.12.22 12:55:03,buy,0.1,eurusd,1.102,0,1.10267,2023.12.22 13:53:05,1.10267,-0.6,0,0,6.7
41161221,2023.12.22 12:56:12,buy,0.1,eurusd,1.10186,0,1.10267,2023.12.22 13:53:05,1.10267,-0.6,0,0,8.1
41161225,2023.12.22 12:56:12,sell,0.05,eurusd,1.10185,0,1.10191,2023.12.22 13:23:37,1.10189,-0.3,0,0,-0.2
41161252,2023.12.22 12:57:04,buy,0.1,eurusd,1.10176,0,1.10267,2023.12.22 13:53:05,1.10267,-0.6,0,0,9.1
41161268,2023.12.22 12:58:00,buy,0.1,eurusd,1.10171,0,1.10267,2023.12.22 13:53:05,1.10267,-0.6,0,0,9.6
41161286,2023.12.22 13:00:17,sell,0.05,eurusd,1.10194,0,1.10191,2023.12.22 13:23:37,1.10189,-0.3,0,0,0.25
41161301,2023.12.22 13:01:04,sell,0.05,eurusd,1.10209,0,1.10191,2023.12.22 13:23:37,1.10189,-0.3,0,0,1
41161324,2023.12.22 13:04:03,sell,0.05,eurusd,1.10228,0,1.10191,2023.12.22 13:23:37,1.10189,-0.3,0,0,1.95
41161338,2023.12.22 13:06:01,sell,0.05,eurusd,1.10227,0,1.10191,2023.12.22 13:23:37,1.10189,-0.3,0,0,1.9
41161357,2023.12.22 13:07:09,sell,0.05,eurusd,1.10237,0,1.10191,2023.12.22 13:23:37,1.10189,-0.3,0,0,2.4
41161400,2023.12.22 13:18:03,sell,0.05,eurusd,1.10256,0,1.10191,2023.12.22 13:23:37,1.10189,-0.3,0,0,3.35
41161414,2023.12.22 13:19:04,sell,0.05,eurusd,1.10267,0,1.10191,2023.12.22 13:23:37,1.10189,-0.3,0,0,3.9
41161431,2023.12.22 13:20:14,sell,0.05,eurusd,1.10263,0,1.10191,2023.12.22 13:23:37,1.10189,-0.3,0,0,3.7
41161447,2023.12.22 13:21:02,sell,0.05,eurusd,1.10268,0,1.10191,2023.12.22 13:23:37,1.10189,-0.3,0,0,3.95
41161463,2023.12.22 13:22:01,sell,0.1,eurusd,1.10277,0,1.10191,2023.12.22 13:23:37,1.10189,-0.6,0,0,8.8
41161484,2023.12.22 13:25:10,buy,0.1,eurusd,1.10169,0,1.10267,2023.12.22 13:53:05,1.10267,-0.6,0,0,9.8
41161489,2023.12.22 13:25:10,sell,0.05,eurusd,1.10169,0,1.10143,2023.12.22 13:30:33,1.10137,-0.3,0,0,1.6
41161513,2023.12.22 13:26:02,sell,0.05,eurusd,1.10178,0,1.10143,2023.12.22 13:30:33,1.10137,-0.3,0,0,2.05
